"cell","order","dendriteLength","denditeSurfaceArea","dendriteVolume","spines","thin","stubby","mushroom","filopodia"
"G5 C1",1,0.6,2.2992,0.697716,0,0,0,0,0
"G5 C1",2,76.3,302.383,104.188,0,0,0,0,0
"G5 C1",3,30.2,149.034,72.9969,0,0,0,0,0
"G5 C1",4,164.5,673.117,237.01,9.54407294832827,1.39817629179331,7.0516717325228,1.09422492401216,0
"G5 C1",5,62.2,393.925,213.897,0,0,0,0,0
"G5 C1",6,505,2044.08,719.654,9.86138613861386,1.56435643564356,7.16831683168317,1.04950495049505,0.0792079207920792
"G5 C1",7,355.4,1503.78,557.204,9.36972425436128,1.63196398424311,6.47158131682611,1.20990433314575,0.056274620146314
"G5 C1",8,341.8,1338.31,467.7,8.98186073727326,1.63838502047981,6.72908133411352,0.61439438267993,0
"G5 C1",9,405.2,1589.41,551.59,11.599210266535,2.44323790720632,7.65054294175716,1.43139190523198,0.0740375123395854
"G5 C1",10,104,546.02,248.473,9.13461538461539,2.11538461538462,6.53846153846154,0.480769230769231,0
"G5 C1",11,218.4,984.314,369.528,10.9432234432234,1.51098901098901,7.96703296703297,1.46520146520147,0
"G5 C1",12,410.8,1693.41,613.071,11.587147030185,1.80136319376826,8.59298928919182,1.14410905550146,0.0486854917234664
"G5 C1",13,193.1,909.397,387.079,9.99482133609529,2.43397203521491,6.83583635422061,0.725012946659762,0
"G5 C1",14,150.1,496.018,154.06,6.86209193870753,2.39840106595603,3.3311125916056,1.06595602931379,0.0666222518321119
"G5 C1",15,252.4,1078.29,410.168,10.0633914421553,2.69413629160063,5.66561014263074,1.54516640253566,0.158478605388273
"G5 C1",16,153.3,565.32,186.429,8.48010437051533,2.60926288323549,4.5662100456621,1.30463144161774,0
"G5 C1",17,93.6,321.785,102.088,11.1111111111111,3.95299145299145,5.02136752136752,2.13675213675214,0
"G5 C1",18,31.6,180.01,85.1817,0,0,0,0,0
"G5 C1",19,288.3,1217.66,433.153,11.5157821713493,2.98300381547,7.18002081165453,1.24869927159209,0.104058272632674
"G5 C1",20,202.8,647.868,178.451,11.2919132149901,3.2051282051282,6.80473372781065,1.28205128205128,0
"G5 C1",21,31.9,142.669,53.2983,13.4796238244514,1.25391849529781,10.6583072100313,1.56739811912226,0
"G6 C1",1,0.2,1.22734,0.496067,0,0,0,0,0
"G6 C1",2,33.9,94.3326,21.6497,5.30973451327434,2.3598820058997,2.06489675516224,0.884955752212389,0
"G6 C1",3,183.5,720.523,231.061,6.4850136239782,1.19891008174387,5.06811989100818,0.217983651226158,0
"G6 C1",4,115.2,363.096,94.5208,8.07291666666667,2.77777777777778,4.6875,0.607638888888889,0
"G6 C1",5,503.4,1400.23,322.252,6.31704410011919,2.90027810885975,2.50297973778308,0.893921334922527,0.0198649185538339
"G6 C1",6,431.4,1080.33,224.509,6.28187297171998,2.73528048215114,2.17895224849328,1.27491886879926,0.0927213722763097
"G6 C1",7,169.4,451.324,99.8204,6.02125147579693,2.06611570247934,2.42030696576151,1.53482880755608,0
"G6 C1",8,30.5,86.8514,20.1461,5.90163934426229,2.29508196721311,1.9672131147541,1.63934426229508,0
"G6 C1",9,194.2,466.785,92.6033,5.50978372811534,2.52317198764161,1.90525231719876,1.08135942327497,0
"G6 C1",10,246.7,611.198,131.646,6.60721524118362,2.35103364410215,3.12119983785975,1.13498175922173,0
"G6 C1",11,148.5,492.781,135.907,5.65656565656566,1.68350168350168,3.03030303030303,0.942760942760943,0
"G6 C1",12,128.2,377.909,93.5887,7.41029641185647,3.04212168486739,3.74414976599064,0.62402496099844,0
"G6 C1",13,102.9,326.628,89.5924,6.31681243926142,1.94363459669582,3.79008746355685,0.583090379008746,0
"G6 C1",14,277,785.256,189.848,7.29241877256318,2.56317689530686,3.2129963898917,1.51624548736462,0
"G6 C1",15,135.6,472.465,138.512,5.53097345132743,1.91740412979351,2.8023598820059,0.737463126843658,0.0737463126843658
"G6 C1",16,254.8,675.6,147.716,4.74882260596546,2.08006279434851,1.72684458398744,0.902668759811617,0.0392464678178964
"G6 C1",17,497.9,1251.09,264.834,4.29805181763406,1.64691705161679,1.92809801164893,0.723036754368347,0
"G6 C1",18,355.5,1059.18,295.751,6.10407876230661,2.64416315049226,2.75668073136428,0.70323488045007,0
"G6 C1",19,318.4,838.457,181.684,6.94095477386935,3.70603015075377,1.9786432160804,1.09924623115578,0.157035175879397
"G6 C1",20,170,455.989,98.9881,6.70588235294118,2.94117647058824,3.29411764705882,0.411764705882353,0.0588235294117647
"G6 C2",1,3.7,14.0697,4.23304,0,0,0,0,0
"G6 C2",2,65.7,193.875,49.6537,4.71841704718417,2.43531202435312,1.97869101978691,0.30441400304414,0
"G6 C2",3,131.1,420.941,111.529,5.94965675057208,1.37299771167048,3.66132723112128,0.68649885583524,0.22883295194508
"G6 C2",4,62.3,256.25,85.1785,6.09951845906902,1.60513643659711,3.85232744783307,0.642054574638844,0
"G6 C2",5,88.2,438.153,174.028,2.60770975056689,0.113378684807256,2.26757369614512,0.226757369614512,0
"G6 C2",6,119.2,422.759,125.919,6.45973154362416,2.01342281879195,3.7751677852349,0.587248322147651,0.0838926174496644
"G6 C2",7,396,1379.72,422.876,4.92424242424242,2.07070707070707,1.91919191919192,0.808080808080808,0.126262626262626
"G6 C2",8,165.1,540.309,153.33,4.36099333737129,1.3930950938825,1.7565112053301,1.15081768625076,0.0605693519079346
"G6 C2",9,283.9,922.069,260.156,4.71997182106375,1.6907361747094,1.7611835153223,1.09193377949982,0.17611835153223
"G6 C2",10,197,728.442,238.448,4.51776649746193,0.964467005076142,2.33502538071066,1.21827411167513,0
"G6 C2",11,225.8,804.994,260.665,3.89725420726306,1.50575730735164,0.974313551815766,1.32860938883968,0.0885739592559787
"G6 C2",12,43.8,283.803,143.142,0,0,0,0,0
"G6 C2",13,240.8,794.974,234.396,5.23255813953488,1.78571428571429,2.11794019933555,1.20431893687708,0.124584717607973
"G6 C2",14,322.5,1045.65,301.247,3.28682170542636,0.930232558139535,1.76744186046512,0.589147286821705,0
"G6 C2",15,414.2,1424.8,434.894,3.6697247706422,0.893288266537904,1.97971994205698,0.772573635924674,0.0241429261226461
"G6 C2",16,165,751.916,299.832,4.48484848484848,0.909090909090909,2.42424242424242,1.15151515151515,0
"G6 C2",17,590.3,2016.4,606.425,5.2007453837032,1.52464848382179,2.64272403862443,0.948670167711333,0.0847026935456548
"G6 C2",18,322.3,1123.43,353.518,3.84734719205709,1.48929568724791,1.14799875892026,1.02389078498294,0.186161960905988
"G6 C2",19,333.6,1065.41,298.143,5.24580335731415,2.0083932853717,2.48800959232614,0.749400479616307,0
"G6 C2",20,326.8,1154.94,363.422,4.34516523867809,1.04039167686659,2.5703794369645,0.734394124847001,0
"G6 C2",21,760.6,2519.2,753.559,4.18090980804628,1.19642387588746,2.19563502498028,0.788850907178543,0
"G6 C2",22,328.7,953.087,227.484,5.4456951627624,1.3386066321874,2.64679038637055,1.42987526620018,0.0304228780042592
"G7 C3",1,120.2,259.821,46.6468,10.4825291181364,4.24292845257903,4.99168053244592,1.16472545757072,0.0831946755407654
"G7 C3",2,78.7,185.072,35.5133,7.49682337992376,3.04955527318933,3.93900889453621,0.508259212198221,0
"G7 C3",3,149.8,347.401,68.5315,7.14285714285714,3.00400534045394,3.13751668891856,1.00133511348465,0
"G7 C3",4,103.4,258.059,60.4666,14.5067698259188,4.44874274661509,8.31721470019342,1.74081237911025,0
"G7 C3",5,42,158.007,58.613,7.38095238095238,2.61904761904762,4.28571428571429,0.476190476190476,0
"G7 C3",6,130.2,357.344,103.605,13.9016897081413,5.4531490015361,6.75883256528418,1.68970814132104,0
"G7 C3",7,139.7,399.36,115.29,12.3120973514674,4.86757337151038,6.37079455977094,1.07372942018611,0
"G7 C3",8,152.1,361.897,79.2546,10.5193951347797,3.48454963839579,5.52268244575937,1.51216305062459,0
"G7 C3",9,273,642.225,140.327,13.6996336996337,5.27472527472527,6.84981684981685,1.57509157509158,0
"G7 C3",10,152.8,424.876,115.346,11.1910994764398,4.31937172774869,5.36649214659686,1.50523560209424,0
"G7 C3",11,138.9,390.486,102.863,14.0388768898488,4.24766018718502,7.63138948884089,2.08783297336213,0.0719942404607631
"G7 C3",12,280.9,656.557,137,13.5991456034176,4.73478106087576,7.04877180491278,1.81559273762905,0
"G7 C3",13,189.4,536.339,143.085,15.4171066525871,6.01900739176346,7.44456177402323,1.95353748680042,0
"G7 C3",14,531.7,1244.31,250.926,13.8423923264999,5.51062629302238,6.67669738574384,1.65506864773368,0
"G7 C3",15,181.9,441.951,93.524,12.2594832325454,4.23309510720176,6.48708081363386,1.53930731170973,0
"G7 C3",16,193.3,482.506,107.752,11.48473874806,3.51784790481117,6.31143300569064,1.6554578375582,0
"G7 C3",17,185.2,585.045,168.853,11.5010799136069,3.77969762419006,6.15550755939525,1.51187904967603,0.0539956803455724
"G7 C3",18,112.6,367.313,113.394,8.79218472468917,3.73001776198934,4.26287744227353,0.799289520426288,0
"G7 C3",19,291.3,688.125,142.947,12.5643666323378,5.83590799862684,5.18365945760384,1.54479917610711,0
"G7 C3",20,473.6,1247.53,282.484,10.9797297297297,3.56841216216216,6.1866554054054,1.22466216216216,0
"G7 C3",21,580,1435.15,308.662,7.96551724137931,3.51724137931034,3.72413793103448,0.724137931034483,0
"G7 C3",22,89.8,191.924,34.6112,12.0267260579065,4.00890868596882,5.79064587973274,2.2271714922049,0
"G7 C3",23,96.5,278.013,69.3885,12.7461139896373,3.62694300518135,8.18652849740933,0.829015544041451,0.103626943005181
"G7 C3",24,153.1,347.044,69.0678,11.7570215545395,4.18027433050294,5.74787720444154,1.82887001959504,0
"G7 C3",25,180.9,413.663,79.1151,8.95522388059701,3.26147042564953,4.42233278054174,1.27142067440575,0
"G7 C3",26,41.1,83.5594,14.2462,5.35279805352798,2.67639902676399,1.70316301703163,0.97323600973236,0
"G7 C3",27,43.5,107.999,21.9143,10.5747126436782,2.29885057471264,6.4367816091954,1.83908045977011,0
"G7 C3",28,104.7,343.17,94.2501,6.97230181470869,2.10124164278892,4.39350525310411,0.477554918815664,0
"G7 C3",29,40.4,110.968,25.3876,5.69306930693069,2.22772277227723,2.97029702970297,0.495049504950495,0
"G7 C3",30,202.1,463.264,90.6792,7.12518555170708,2.91934685799109,3.36467095497279,0.841167738743197,0
"G7 C3",31,141.1,326.248,61.5653,7.512402551382,3.18922749822821,3.54358610914245,0.779588944011339,0
"G7 C3",32,533.8,1156.71,209.304,5.78868490071188,2.21056575496441,2.97864368677407,0.599475458973398,0
"G7 C3",33,67.4,159.477,30.8276,1.03857566765579,0.593471810089021,0.445103857566766,0,0
"G7 C3",34,44.9,106.094,20.6005,1.78173719376392,0.44543429844098,0.44543429844098,0.89086859688196,0
